;1;2;4;8;16;32;64;128;
100000;1.220900e-02;5.528000e-03;3.434000e-03;2.811000e-03;6.493000e-03;4.853000e-03;5.237400e-02;7.541500e-02;
200000;1.935200e-02;1.029200e-02;6.321000e-03;4.856000e-03;4.529000e-03;1.426400e-02;1.698800e-02;6.403300e-02;
300000;2.966700e-02;1.585900e-02;9.015000e-03;7.545000e-03;7.235000e-03;1.313400e-02;4.911100e-02;9.745300e-02;
400000;4.032300e-02;2.110100e-02;1.240300e-02;8.502000e-03;7.801000e-03;1.878700e-02;6.250100e-02;7.342500e-02;
500000;5.129200e-02;2.669700e-02;1.522600e-02;1.145200e-02;1.069900e-02;1.238000e-02;7.654600e-02;1.180990e-01;
600000;6.218500e-02;3.204500e-02;1.836400e-02;1.530800e-02;1.412500e-02;1.571000e-02;6.503600e-02;1.303950e-01;
700000;7.310800e-02;3.799500e-02;2.150300e-02;1.774400e-02;1.401800e-02;1.777700e-02;8.674100e-02;1.392080e-01;
800000;8.466400e-02;4.369400e-02;2.523400e-02;1.978900e-02;1.926300e-02;2.153300e-02;1.395670e-01;1.073790e-01;
900000;9.522000e-02;4.964700e-02;2.807600e-02;2.233300e-02;1.760000e-02;2.149100e-02;1.126020e-01;1.237780e-01;
1000000;1.067770e-01;5.676100e-02;3.067000e-02;2.174200e-02;2.054400e-02;2.294200e-02;1.750310e-01;1.834610e-01;
1100000;1.202650e-01;6.175600e-02;3.471200e-02;2.610900e-02;2.127800e-02;2.179300e-02;1.313100e-01;1.598700e-01;
1200000;1.294260e-01;6.708600e-02;3.946800e-02;2.552200e-02;2.280200e-02;2.633700e-02;8.448400e-02;1.856600e-01;
1300000;1.401830e-01;7.291600e-02;4.103500e-02;2.958700e-02;2.376900e-02;2.859500e-02;8.569400e-02;9.741600e-02;
1400000;1.519990e-01;7.865600e-02;4.436400e-02;3.444400e-02;3.133500e-02;3.638900e-02;7.531000e-02;1.636900e-01;
1500000;1.639220e-01;8.499800e-02;4.708100e-02;3.185800e-02;3.086300e-02;3.154800e-02;7.440000e-02;1.815680e-01;
1600000;1.767650e-01;9.206400e-02;5.152100e-02;3.639800e-02;2.992000e-02;3.214500e-02;8.290500e-02;1.784590e-01;
1700000;1.927520e-01;9.909400e-02;5.375900e-02;3.572300e-02;3.734200e-02;3.969400e-02;7.058800e-02;2.230380e-01;
1800000;1.997470e-01;1.035960e-01;6.371400e-02;4.240700e-02;3.732900e-02;4.197800e-02;8.643600e-02;2.996590e-01;
1900000;2.120510e-01;1.106310e-01;6.129700e-02;4.259400e-02;3.635500e-02;3.511000e-02;9.796900e-02;1.916770e-01;
2000000;2.241600e-01;1.160070e-01;6.621400e-02;4.345900e-02;4.701300e-02;4.216500e-02;8.355000e-02;2.694350e-01;
2100000;2.414270e-01;1.235360e-01;6.773800e-02;4.466100e-02;4.102300e-02;4.536800e-02;1.342980e-01;1.832930e-01;
2200000;2.463270e-01;1.308090e-01;7.060300e-02;4.823600e-02;4.463000e-02;5.257600e-02;1.024850e-01;2.493240e-01;
2300000;2.592210e-01;1.341820e-01;7.956600e-02;4.927400e-02;4.214500e-02;4.873600e-02;7.154100e-02;2.919950e-01;
2400000;2.705440e-01;1.402910e-01;7.974700e-02;5.196700e-02;4.784700e-02;4.534300e-02;9.437500e-02;2.074090e-01;
2500000;2.886200e-01;1.508400e-01;8.202900e-02;5.253100e-02;4.725500e-02;5.123100e-02;1.044770e-01;2.050200e-01;
2600000;2.972220e-01;1.535300e-01;8.529100e-02;5.653600e-02;4.957700e-02;4.821600e-02;9.463400e-02;2.166010e-01;
2700000;3.061730e-01;1.587100e-01;9.232700e-02;5.936500e-02;4.947400e-02;5.937600e-02;8.733900e-02;2.460460e-01;
